,Stock,Quantity,Month,MFundName,Fund Size
100,MDB,1880,Ashwin 2078,CMF2,560000000
101,MNBBL,7781,Ashwin 2078,CMF2,560000000
102,SHINE,1500,Ashwin 2078,CMF2,560000000
103,ICFC,5620,Ashwin 2078,CMF2,560000000
104,PFL,185,Ashwin 2078,CMF2,560000000
105,SIFC,2550,Ashwin 2078,CMF2,560000000
106,SHPC,664,Ashwin 2078,CMF2,560000000
107,MKJC,310,Ashwin 2078,CMF2,560000000
108,ALICL,11511,Ashwin 2078,CMF2,560000000
109,LICN,4935,Ashwin 2078,CMF2,560000000
110,NLICL,4252,Ashwin 2078,CMF2,560000000
111,NLIC,16020,Ashwin 2078,CMF2,560000000
112,PLIC,5585,Ashwin 2078,CMF2,560000000
113,SLI,8221,Ashwin 2078,CMF2,560000000
114,SLICL,90,Ashwin 2078,CMF2,560000000
115,ULI,8264,Ashwin 2078,CMF2,560000000
116,CBBL,9610,Ashwin 2078,CMF2,560000000
117,DDBL,12919,Ashwin 2078,CMF2,560000000
118,FOWAD,1912,Ashwin 2078,CMF2,560000000
119,NUBL,9851,Ashwin 2078,CMF2,560000000
120,JBLB,2352,Ashwin 2078,CMF2,560000000
121,RMDC,2116,Ashwin 2078,CMF2,560000000
122,NMFBS,186,Ashwin 2078,CMF2,560000000
123,SKBBL,12657,Ashwin 2078,CMF2,560000000
124,SWBBL,11667,Ashwin 2078,CMF2,560000000
125,MLBS,563,Ashwin 2078,CMF2,560000000
126,HGI,4,Ashwin 2078,CMF2,560000000
127,LGIL,3,Ashwin 2078,CMF2,560000000
128,NIL,11382,Ashwin 2078,CMF2,560000000
129,NLG,2300,Ashwin 2078,CMF2,560000000
130,PIC,13373,Ashwin 2078,CMF2,560000000
131,SIC,11450,Ashwin 2078,CMF2,560000000
132,SICL,15287,Ashwin 2078,CMF2,560000000
133,SIL,10600,Ashwin 2078,CMF2,560000000
134,NICSF,100000,Ashwin 2078,CMF2,560000000
135,KEF,50000,Ashwin 2078,CMF2,560000000
136,NIBSF2,200000,Ashwin 2078,CMF2,560000000
137,RMF1,100000,Ashwin 2078,CMF2,560000000
138,CIT,300,Ashwin 2078,CMF2,560000000
139,HDL,150,Ashwin 2078,CMF2,560000000
140,SAMAJ,195,Ashwin 2078,CMF2,560000000
141,MEGAMF1,50000,Ashwin 2078,CMF2,560000000
142,TPC,1143,Ashwin 2078,CMF2,560000000
143,BNHC,1067,Ashwin 2078,CMF2,560000000
144,SAHAS,9333,Ashwin 2078,CMF2,560000000
145,MBKHCL,12000,Ashwin 2078,CMF2,560000000
146,SPCL,973,Ashwin 2078,CMF2,560000000
147,NYADI,3000,Ashwin 2078,CMF2,560000000
148,CCBLPO,121360,Ashwin 2078,GIMES1,1000000000
149,NIBPO,39738,Ashwin 2078,GIMES1,1000000000
150,GBIME,2901,Ashwin 2078,GIMES1,1000000000
151,MBL,52653,Ashwin 2078,GIMES1,1000000000
152,SCB,3960,Ashwin 2078,GIMES1,1000000000
153,LBL,16331,Ashwin 2078,GIMES1,1000000000
154,NBB,63477,Ashwin 2078,GIMES1,1000000000
155,CCBL,232269,Ashwin 2078,GIMES1,1000000000
156,MEGA,6764,Ashwin 2078,GIMES1,1000000000
157,CBL,205289,Ashwin 2078,GIMES1,1000000000
158,CZBIL,26157,Ashwin 2078,GIMES1,1000000000
159,EBLCP,2752,Ashwin 2078,GIMES1,1000000000
160,GBBL,54385,Ashwin 2078,GIMES1,1000000000
161,MDB,24905,Ashwin 2078,GIMES1,1000000000
162,KSBBL,35000,Ashwin 2078,GIMES1,1000000000
163,MNBBL,16696,Ashwin 2078,GIMES1,1000000000
164,MLBL,57976,Ashwin 2078,GIMES1,1000000000
165,JBBL,53126,Ashwin 2078,GIMES1,1000000000
166,SADBL,13000,Ashwin 2078,GIMES1,1000000000
167,LBBL,49855,Ashwin 2078,GIMES1,1000000000
168,AKBSL,940,Ashwin 2078,GIMES1,1000000000
169,SKBBL,36417,Ashwin 2078,GIMES1,1000000000
170,FOWAD,4190,Ashwin 2078,GIMES1,1000000000
171,NLBBL,1,Ashwin 2078,GIMES1,1000000000
172,ACLBSL,1000,Ashwin 2078,GIMES1,1000000000
173,SAMAJ,391,Ashwin 2078,GIMES1,1000000000
174,VLBS,1406,Ashwin 2078,GIMES1,1000000000
175,CBBL,47641,Ashwin 2078,GIMES1,1000000000
176,FMDBL,88737,Ashwin 2078,GIMES1,1000000000
177,JBLB,5755,Ashwin 2078,GIMES1,1000000000
178,KLBSL,3802,Ashwin 2078,GIMES1,1000000000
179,GFCL,5993,Ashwin 2078,GIMES1,1000000000
180,MFIL,22891,Ashwin 2078,GIMES1,1000000000
181,SFFIL,235,Ashwin 2078,GIMES1,1000000000
182,MEN,21435,Ashwin 2078,GIMES1,1000000000
183,AKPL,25000,Ashwin 2078,GIMES1,1000000000
184,HPPL,63466,Ashwin 2078,GIMES1,1000000000
185,HURJA,55134,Ashwin 2078,GIMES1,1000000000
186,MHNL,25555,Ashwin 2078,GIMES1,1000000000
187,SPDL,14330,Ashwin 2078,GIMES1,1000000000
188,API,2269,Ashwin 2078,GIMES1,1000000000
189,GLH,98185,Ashwin 2078,GIMES1,1000000000
190,AHPC,1659,Ashwin 2078,GIMES1,1000000000
191,PMHPL,3000,Ashwin 2078,GIMES1,1000000000
192,MKJC,2630,Ashwin 2078,GIMES1,1000000000
193,SHPC,16400,Ashwin 2078,GIMES1,1000000000
194,NGPL,252780,Ashwin 2078,GIMES1,1000000000
195,ULI,21036,Ashwin 2078,GIMES1,1000000000
196,SLI,11429,Ashwin 2078,GIMES1,1000000000
197,PLIC,28790,Ashwin 2078,GIMES1,1000000000
198,LICN,4347,Ashwin 2078,GIMES1,1000000000
199,JLI,5619,Ashwin 2078,GIMES1,1000000000
200,NLIC,1,Ashwin 2078,GIMES1,1000000000
201,NLICL,62136,Ashwin 2078,GIMES1,1000000000
202,PLI,41551,Ashwin 2078,GIMES1,1000000000
203,RBCLPO,9790,Ashwin 2078,GIMES1,1000000000
204,IGI,97704,Ashwin 2078,GIMES1,1000000000
205,NIL,17540,Ashwin 2078,GIMES1,1000000000
206,SICL,8000,Ashwin 2078,GIMES1,1000000000
207,EIC,1,Ashwin 2078,GIMES1,1000000000
208,LGIL,10000,Ashwin 2078,GIMES1,1000000000
209,PRIN,679,Ashwin 2078,GIMES1,1000000000
210,PIC,3586,Ashwin 2078,GIMES1,1000000000
211,CGH,10973,Ashwin 2078,GIMES1,1000000000
212,CMF1,2698420,Ashwin 2078,GIMES1,1000000000
213,NEF,392720,Ashwin 2078,GIMES1,1000000000
214,NICGF,278489,Ashwin 2078,GIMES1,1000000000
215,LEMF,138300,Ashwin 2078,GIMES1,1000000000
216,SFMF,2924076,Ashwin 2078,GIMES1,1000000000
217,SAEF,283134,Ashwin 2078,GIMES1,1000000000
218,SEF,1345136,Ashwin 2078,GIMES1,1000000000
219,NIBSF1,91878,Ashwin 2078,GIMES1,1000000000
220,NBF2,106640,Ashwin 2078,GIMES1,1000000000
221,PSF,464000,Ashwin 2078,GIMES1,1000000000
222,SIGS2,14700,Ashwin 2078,GIMES1,1000000000
223,NRIC,63047,Ashwin 2078,GIMES1,1000000000
224,NTC,79193,Ashwin 2078,GIMES1,1000000000
225,CIT,6253,Ashwin 2078,GIMES1,1000000000
226,HIDCL,1,Ashwin 2078,GIMES1,1000000000
227,NIFRA,7659,Ashwin 2078,GIMES1,1000000000
228,HDL,13956,Ashwin 2078,GIMES1,1000000000
229,SHIVM,20260,Ashwin 2078,GIMES1,1000000000
230,SANIMA,7,Ashwin 2078,KEF,1000000000
231,NICA,21139,Ashwin 2078,KEF,1000000000
232,MBL,21850,Ashwin 2078,KEF,1000000000
233,SBL,32516,Ashwin 2078,KEF,1000000000
234,CZBIL,20092,Ashwin 2078,KEF,1000000000
235,NBL,15000,Ashwin 2078,KEF,1000000000
236,PRVU,24992,Ashwin 2078,KEF,1000000000
237,NIBPO,46852,Ashwin 2078,KEF,1000000000
238,NMB,15001,Ashwin 2078,KEF,1000000000
239,LBL,54922,Ashwin 2078,KEF,1000000000
240,ADBL,10000,Ashwin 2078,KEF,1000000000
241,MNBBL,25000,Ashwin 2078,KEF,1000000000
242,LBBL,6000,Ashwin 2078,KEF,1000000000
243,NUBL,23407,Ashwin 2078,KEF,1000000000
244,CBBL,18588,Ashwin 2078,KEF,1000000000
245,FOWAD,11352,Ashwin 2078,KEF,1000000000
246,LLBS,21477,Ashwin 2078,KEF,1000000000
247,SWBBL,3815,Ashwin 2078,KEF,1000000000
248,JBLB,3605,Ashwin 2078,KEF,1000000000
249,RMDC,13948,Ashwin 2078,KEF,1000000000
250,MLBSL,2,Ashwin 2078,KEF,1000000000
251,MLBS,1406,Ashwin 2078,KEF,1000000000
252,NICLBSL,5574,Ashwin 2078,KEF,1000000000
253,LICN,8182,Ashwin 2078,KEF,1000000000
254,NLICL,24363,Ashwin 2078,KEF,1000000000
255,SIC,11900,Ashwin 2078,KEF,1000000000
256,NIL,13220,Ashwin 2078,KEF,1000000000
257,NIBSF1,261600,Ashwin 2078,KEF,1000000000
258,NICBF,542835,Ashwin 2078,KEF,1000000000
259,GIMES1,465240,Ashwin 2078,KEF,1000000000
260,SBCF,1226360,Ashwin 2078,KEF,1000000000
261,NEF,119822,Ashwin 2078,KEF,1000000000
262,PSF,500000,Ashwin 2078,KEF,1000000000
263,NIBSF2,958500,Ashwin 2078,KEF,1000000000
264,NMBHF1,195740,Ashwin 2078,KEF,1000000000
265,NMB50,568600,Ashwin 2078,KEF,1000000000
266,RMF1,1000000,Ashwin 2078,KEF,1000000000
267,NICSF,1000000,Ashwin 2078,KEF,1000000000
268,BNT,410,Ashwin 2078,KEF,1000000000
269,CHDC,3000,Ashwin 2078,KEF,1000000000
270,AHPC,12172,Ashwin 2078,KEF,1000000000
271,MKJC,1000,Ashwin 2078,KEF,1000000000
272,ADBL,38811,Ashwin 2078,LEMF,1250000000
273,ALBSL,2110,Ashwin 2078,LEMF,1250000000
274,BOKL,12848,Ashwin 2078,LEMF,1250000000
275,BPCL,1,Ashwin 2078,LEMF,1250000000
276,CBBL,11479,Ashwin 2078,LEMF,1250000000
277,CBL,52762,Ashwin 2078,LEMF,1250000000
278,CCBL,58480,Ashwin 2078,LEMF,1250000000
279,CHCL,23687,Ashwin 2078,LEMF,1250000000
280,CIT,1377,Ashwin 2078,LEMF,1250000000
281,CZBIL,34658,Ashwin 2078,LEMF,1250000000
282,CMF1,1025435,Ashwin 2078,LEMF,1250000000
283,EBL,49906,Ashwin 2078,LEMF,1250000000
284,EDBL,6,Ashwin 2078,LEMF,1250000000
285,GBIME,78975,Ashwin 2078,LEMF,1250000000
286,GIC,1959,Ashwin 2078,LEMF,1250000000
287,GBLBS,11542,Ashwin 2078,LEMF,1250000000
288,GLICL,42973,Ashwin 2078,LEMF,1250000000
289,HBL,24136,Ashwin 2078,LEMF,1250000000
290,HGI,41151,Ashwin 2078,LEMF,1250000000
291,HDL,7682,Ashwin 2078,LEMF,1250000000
292,IGI,1,Ashwin 2078,LEMF,1250000000
