,Stock,Quantity,Month,MFundName,%age holdings
1375,GLH,3000,Bhadra 2078,SFMF,0.0010252509045276105
1376,RHPL,21520,Bhadra 2078,SFMF,0.00735446648847806
1377,SHEL,5000,Bhadra 2078,SFMF,0.0017087515075460175
1378,SJCL,22345,Bhadra 2078,SFMF,0.007636410487223152
1379,UPPER,7000,Bhadra 2078,SFMF,0.0023922521105644245
1380,CGH,6973,Bhadra 2078,SFMF,0.002383024852423676
1381,CIT,5450,Bhadra 2078,SFMF,0.001862539143225159
1382,NIFRA,15000,Bhadra 2078,SFMF,0.005126254522638053
1383,NRIC,15641,Bhadra 2078,SFMF,0.005345316465905452
1384,KEF,1597400,Bhadra 2078,SFMF,0.5459119316308017
1385,NIBSF2,231005,Bhadra 2078,SFMF,0.07894602840013355
1386,CCBL,110225,Bhadra 2078,SIGS2,0.06471767008167725
1387,CHCL,1000,Bhadra 2078,SIGS2,0.000587141484070558
1388,CZBIL,4289,Bhadra 2078,SIGS2,0.002518249825178623
1389,GBBL,12685,Bhadra 2078,SIGS2,0.007447889725435028
1390,GBIME,77794,Bhadra 2078,SIGS2,0.04567608461178499
1391,GLICL,7712,Bhadra 2078,SIGS2,0.004528035125152143
1392,LBL,10000,Bhadra 2078,SIGS2,0.00587141484070558
1393,LGIL,100,Bhadra 2078,SIGS2,5.8714148407055797e-05
1394,LICN,28174,Bhadra 2078,SIGS2,0.0165421241722039
1395,MEGA,212,Bhadra 2078,SIGS2,0.0001244739946229583
1396,MNBBL,27308,Bhadra 2078,SIGS2,0.016033659646998797
1397,NBL,97450,Bhadra 2078,SIGS2,0.05721693762267587
1398,NIBPO,5031,Bhadra 2078,SIGS2,0.0029539088063589773
1399,NICA,149150,Bhadra 2078,SIGS2,0.08757215234912372
1400,NIL,25877,Bhadra 2078,SIGS2,0.015193460183293829
1401,NLIC,35293,Bhadra 2078,SIGS2,0.020721984397302204
1402,NLICL,65123,Bhadra 2078,SIGS2,0.03823641486712694
1403,NMB,80806,Bhadra 2078,SIGS2,0.04744455476180551
1404,NTC,31806,Bhadra 2078,SIGS2,0.018674622042348165
1405,PCBL,115021,Bhadra 2078,SIGS2,0.06753360063927964
1406,PLIC,7800,Bhadra 2078,SIGS2,0.004579703575750352
1407,SANIMA,158558,Bhadra 2078,SIGS2,0.09309597943125952
1408,SCB,17152,Bhadra 2078,SIGS2,0.010070650734778211
1409,SHINE,25100,Bhadra 2078,SIGS2,0.014737251250171005
1410,SICL,21813,Bhadra 2078,SIGS2,0.01280731719203108
1411,SKBBL,21142,Bhadra 2078,SIGS2,0.012413345256219737
1412,SRBL,49995,Bhadra 2078,SIGS2,0.029354138496107546
1413,SWBBL,2482,Bhadra 2078,SIGS2,0.0014572851634631248
1414,UNL,130,Bhadra 2078,SIGS2,7.632839292917253e-05
1415,PRVU,210259,Bhadra 2078,SIGS2,0.12345178129919145
1416,NUBL,32367,Bhadra 2078,SIGS2,0.01900400841491175
1417,NBB,25000,Bhadra 2078,SIGS2,0.01467853710176395
1418,NLBBL,9000,Bhadra 2078,SIGS2,0.005284273356635022
1419,MBL,5000,Bhadra 2078,SIGS2,0.00293570742035279
1420,PIC,21770,Bhadra 2078,SIGS2,0.012782070108216047
1421,ALICL,16488,Bhadra 2078,SIGS2,0.00968078878935536
1422,CBBL,34242,Bhadra 2078,SIGS2,0.020104898697544046
1423,KSBBL,23139,Bhadra 2078,SIGS2,0.013585866799908641
1424,BNT,555,Bhadra 2078,SIGS2,0.0003258635236591597
1425,HGI,2000,Bhadra 2078,SIGS2,0.001174282968141116
1426,SJCL,1,Bhadra 2078,SIGS2,5.871414840705579e-07
1427,RMDC,31081,Bhadra 2078,SIGS2,0.01824894446639701
1428,NABIL,43348,Bhadra 2078,SIGS2,0.025451409051490546
1429,ICFC,4099,Bhadra 2078,SIGS2,0.0024066929432052173
1430,SIFC,11150,Bhadra 2078,SIGS2,0.006546627547386721
1431,NRIC,12243,Bhadra 2078,SIGS2,0.007188373189475841
1432,HDL,500,Bhadra 2078,SIGS2,0.000293570742035279
1433,NICLBSL,2462,Bhadra 2078,SIGS2,0.0014455423337817138
1434,SAMAJ,195,Bhadra 2078,SIGS2,0.0001144925893937588
1435,UIC,4745,Bhadra 2078,SIGS2,0.0027859863419147975
1436,SLICL,3700,Bhadra 2078,SIGS2,0.0021724234910610644
1437,JBLB,3422,Bhadra 2078,SIGS2,0.0020091981584894492
1438,MKLB,673,Bhadra 2078,SIGS2,0.0003951462187794855
1439,LBBL,16500,Bhadra 2078,SIGS2,0.009687834487164206
1440,CZBIL,36399,Bhadra 2078,SLCF,0.03147882774467894
1441,MBL,24986,Bhadra 2078,SLCF,0.021608560400795295
1442,NBL,117748,Bhadra 2078,SLCF,0.10183161650815835
1443,NICA,58410,Bhadra 2078,SLCF,0.050514528656465746
1444,NMB,20682,Bhadra 2078,SLCF,0.01788634620224319
1445,MEGA,27055,Bhadra 2078,SLCF,0.02339788688239481
1446,SRBL,25493,Bhadra 2078,SLCF,0.02204702754732548
1447,NABIL,4930,Bhadra 2078,SLCF,0.004263595724642632
1448,KEF,21200,Bhadra 2078,SLCF,0.018334326442682312
1449,NIBPO,17000,Bhadra 2078,SLCF,0.014702054222905627
1450,NBB,50948,Bhadra 2078,SLCF,0.04406119167932917
1451,LBL,3757,Bhadra 2078,SLCF,0.003249153983262144
1452,GBBL,8751,Bhadra 2078,SLCF,0.00756809861792042
1453,MNBBL,2465,Bhadra 2078,SLCF,0.002131797862321316
1454,CBBL,13213,Bhadra 2078,SLCF,0.011426955438073651
1455,RMDC,3355,Bhadra 2078,SLCF,0.002901493642226375
1456,NUBL,10665,Bhadra 2078,SLCF,0.009223376958075796
1457,GILB,3709,Bhadra 2078,SLCF,0.00320764230075041
1458,MLBSL,1211,Bhadra 2078,SLCF,0.0010473051567022774
1459,SKBBL,10466,Bhadra 2078,SLCF,0.0090512764409959
1460,NMFBS,825,Bhadra 2078,SLCF,0.0007134820431704201
1461,NICLBSL,2199,Bhadra 2078,SLCF,0.0019017539550687927
1462,JBLB,4563,Bhadra 2078,SLCF,0.00394620431877167
1463,MKLB,898,Bhadra 2078,SLCF,0.0007766143936570149
1464,NIL,18664,Bhadra 2078,SLCF,0.01614112588331239
1465,PIC,7338,Bhadra 2078,SLCF,0.0063460984639812645
1466,PRIN,18232,Bhadra 2078,SLCF,0.015767520740706788
1467,NLG,15092,Bhadra 2078,SLCF,0.01305196484306422
1468,LGIL,2000,Bhadra 2078,SLCF,0.0017296534379888974
1469,PLIC,7103,Bhadra 2078,SLCF,0.006142864185017569
1470,SLICL,1393,Bhadra 2078,SLCF,0.001204703619559267
1471,GLICL,6000,Bhadra 2078,SLCF,0.005188960313966692
1472,NLICL,16000,Bhadra 2078,SLCF,0.013837227503911179
1473,ULI,13821,Bhadra 2078,SLCF,0.011952770083222276
1474,SLI,12857,Bhadra 2078,SLCF,0.011119077126111626
1475,AHPC,7500,Bhadra 2078,SLCF,0.006486200392458365
1476,API,9645,Bhadra 2078,SLCF,0.008341253704701457
1477,MKJC,1578,Bhadra 2078,SLCF,0.00136469656257324
1478,RMF1,250000,Bhadra 2078,SLCF,0.21620667974861216
1479,SBCF,250000,Bhadra 2078,SLCF,0.21620667974861216
1480,SHIVM,31371,Bhadra 2078,SLCF,0.02713047900157485
1481,CGH,5969,Bhadra 2078,SLCF,0.005162150685677864
1482,NRIC,10810,Bhadra 2078,SLCF,0.009348776832329991
1483,NLICL,1600,Bhadra 2078,SSIS,0.08163265306122448
1484,SANIMA,5000,Bhadra 2078,SSIS,0.25510204081632654
1485,SRBL,5000,Bhadra 2078,SSIS,0.25510204081632654
1486,NBB,7000,Bhadra 2078,SSIS,0.35714285714285715
1487,SLICL,1000,Bhadra 2078,SSIS,0.05102040816326531
